"asv_temp_id"	"blast_pass"	"accession"	"annotation"	"tax_id_species"	"pident"	"evalue"	"score"
"019eace093d2b41083f77f0fba8a1c5a"	FALSE	"NR_125464.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerobacterium;s__Anaerobacterium chartisolvens"	1297424	88.485	5.89e-110	214
"01c1754f4db429a2626108280324483b"	FALSE	"NR_043680.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster aldenensis"	358742	95.77	1.2e-151	289
"01c2c87bd7b2e37940f169a190ea0f60"	TRUE	"NR_029050.1"	"k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas palleroniana"	191390	100	5.37e-175	331
"01ee860159f2eb326a00dde356a7b986"	FALSE	"NR_181879.1"	"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muricolitica"	2880704	94.603	9.26e-138	264
"01eef3dbad8ac2c5514aae9a90184281"	TRUE	"NR_179276.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter butyricigenes"	2316025	97.583	1.18e-161	307
"01ffbe3ce0c28d766a059cd4368b4c6d"	FALSE	"NR_179173.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium fessum"	2126740	93.662	6.36e-119	230
"020c3c70117d8c93ceeb9af3ec48d457"	FALSE	"NR_117905.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor muris"	879566	92.537	2.65e-133	256
"0230c5002b249bacc6bbf7da8d434b86"	FALSE	"NR_181358.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena absiana"	2788944	95	8.55e-133	255
"0243131d830c4167f4fab4b4a86750c9"	TRUE	"NR_075051.2"	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri"	324831	99.705	9.71e-178	336
"02443f080f5dfe13beccd7c56b5a5479"	FALSE	"NR_156080.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix alysoides"	1469948	94.88	3.36e-147	281
"0249c64bcf8a7c6f7b8aaade962f8646"	FALSE	"NR_118676.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium xylanophilum"	39497	96.078	2.4e-143	274
"027edb18461496b7c4b039187b3d471e"	FALSE	"NR_028726.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lacrimispora;s__Lacrimispora algidixylanolytica"	94868	95.77	1.2e-151	289
"0292432fd881d359919149395f3cd1f7"	FALSE	"NR_117905.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor muris"	879566	93.388	1.98e-98	193
"02c218d3668854c0e00b5d27612e4236"	FALSE	"NR_181880.1"	"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sangeribacter;s__Sangeribacter muris"	2880703	90.82	2.72e-113	220
"02df7cb66acdfd865097f078be255b7c"	TRUE	"NR_181880.1"	"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sangeribacter;s__Sangeribacter muris"	2880703	100	6.43e-159	302
"02e913f2e86c95c905b8f73cef37499f"	TRUE	"NR_075051.2"	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri"	324831	98.477	1.01e-95	188
"03152a4b116dd8901e1cdd13423129f6"	FALSE	"NR_179173.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium fessum"	2126740	94.578	5.61e-145	277
"034c37f3467e683b50a398ff36cb1518"	TRUE	"NR_179426.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__Intestinimonas;s__Intestinimonas gabonensis"	1702285	97.885	2.54e-163	310
"036c3208340b971eccb7c4a029397f2f"	FALSE	"NR_024917.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium] methoxybenzovorans"	1286820	96.073	2.57e-153	292
"037d857020b6e1a3c8de7f00ed991de5"	FALSE	"NG_041947.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminiclostridium;s__Ruminiclostridium cellulolyticum"	394503	93.103	1.91e-93	184
"039c086ba22dbfa460b930424096f9ba"	TRUE	"NR_180566.1"	"k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium cavarae"	2528239	100	1.93e-174	330
"03fe834e51f20ca9418bc5727c2c9d9b"	FALSE	"NR_029167.1"	"k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__Anaeroplasma abactoclasticum"	2087	91	2.15e-72	146
"04119871c576041e9e5a1997739733cd"	FALSE	"NR_118156.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter ruminantium"	1007096	95.166	2.59e-148	283
"042f3762984f9f3261f0b28e58710bd0"	TRUE	"NR_074663.1"	"k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glutamicum"	1718	100	4.18e-176	333
"0462fe909a66068a6a9495aebf060c39"	FALSE	"NR_042511.1"	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Amylolactobacillus;s__Amylolactobacillus amylotrophicus"	376807	98.837	1.94e-83	166
"047a40309469d89e9e84fee4335cbd0b"	TRUE	"NR_116162.1"	"k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Neorhizobium;s__Neorhizobium alkalisoli"	528178	99.697	8.96e-173	327
"048697d734190548d48492b74b52f2ad"	TRUE	"NR_121696.1"	"k__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia equolifaciens"	446660	97.736	2.23e-128	247
"0493057e10d85b7d407bb84880d7fa34"	FALSE	"NR_181392.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Simiaoa;s__Simiaoa hominis"	2763665	93.675	1.57e-140	269
"049573b018e28aa6d12dc57008f17f01"	FALSE	"NR_044972.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Sporobacter;s__Sporobacter termitidis"	44749	95.13	8.74e-138	264
"049b207cdb491466806eaac65d211658"	FALSE	"NR_147396.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridium pacaense"	1917870	95.468	5.57e-150	286
"04b385ed1930e1199caddad6ff41d08c"	FALSE	"NR_173642.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcoides;s__Ruminococcoides bili"	2678306	93.921	5.66e-140	268
"04f902bedc644ade2ccbfb168cbcce41"	FALSE	"NR_179975.1"	"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muris"	2094150	93.355	1.86e-124	240
"04faa42387af0bad9b1d991738a0d56f"	FALSE	"NR_112553.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter glycyrrhizinilyticus"	342942	95.62	2.19e-123	238
"0508f24b33aefe51b81d604e086c1c0c"	FALSE	"NR_180797.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium porci"	2605778	96.375	5.53e-155	295
"052e65cc4ff4e89dac3d36669896dd9d"	FALSE	"NR_117905.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor muris"	879566	94.562	5.61e-145	277
"0534945e9e1655a43c8c2a183be4f28f"	FALSE	"NR_117905.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor muris"	879566	92.492	2.65e-133	256
"053a2310704289edab7b16e3a5c93380"	TRUE	"NR_178255.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Fusimonas;s__Fusimonas intestini"	1408099	97.289	1.53e-160	305
"054f65da669ac1814c0345e457ff93b3"	FALSE	"NR_179173.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium fessum"	2126740	94.578	5.61e-145	277
"055fcdbc7b9280fd1eb9252955d42a28"	TRUE	"NR_152013.1"	"k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter agilis"	1353888	99.675	1.52e-160	305
"05679f7f725fc1142f5a3eb0e59d10d2"	TRUE	"NR_181880.1"	"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sangeribacter;s__Sangeribacter muris"	2880703	99.396	1.16e-171	325
"0590c5d4d15cd74838e48e7d64127b31"	FALSE	"NR_102884.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus champanellensis"	213810	93.051	4.37e-136	261
"05a819ff579f5e2837ab9a8829a06465"	FALSE	"NR_179531.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Marseillibacter;s__Marseillibacter massiliensis"	1852369	94.895	1.21e-146	280
"05c76608939583b85ecbf3b961862dc0"	TRUE	"NR_075051.2"	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri"	324831	100	6.59e-164	311
"05cb0bc4e3eb81957d8bd161a234bc2c"	TRUE	"NR_181198.1"	"k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter bilis"	2735723	99.573	1.44e-119	231
"05dd611f50237e2ac1200b71b5f1f244"	FALSE	"NR_114807.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Marvinbryantia;s__Marvinbryantia formatexigens"	168384	91.244	1.41e-79	159
"05dfef72696799bc57e6ac7804f24ba8"	FALSE	"NR_044645.2"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans"	39486	94.864	3.35e-147	281
"0607d8c5b5734ef644ec67fd34e97676"	FALSE	"NR_104907.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium coprostanoligenes"	290054	96.44	1.87e-144	276
"0625baaa6d6edc748260e716624da7d4"	FALSE	"NR_181393.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Jutongia;s__Jutongia hominis"	2763664	95.468	5.57e-150	286
"062c3562303d28bc24e8ef4026c31ebe"	FALSE	"NR_125464.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerobacterium;s__Anaerobacterium chartisolvens"	1297424	88.498	7.25e-104	203
"063744fa1792fe9f865e0c4f05c9e21d"	TRUE	"NR_075051.2"	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri"	324831	100	2.06e-102	200
"0645075d663c1bc0c118acdb123c6258"	TRUE	"NR_113335.1"	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus fermentum"	1613	100	1.5e-175	332
"064dc30553d3890d2a5077360e1e3e46"	FALSE	"NR_180797.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium porci"	2605778	96.084	2.57e-153	292
"06738d8188a3ce0dfecc28663f49da53"	FALSE	"NR_044713.2"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Acetitomaculum;s__Acetitomaculum ruminis"	2382	94.578	1.21e-146	280
"0676aabfe5db200482181ee8a7dc6741"	TRUE	"NR_181198.1"	"k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter bilis"	2735723	98.271	2.72e-173	328
"06d45e1381342fe03169b43c39ea6816"	FALSE	"NR_173632.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Novisyntrophococcus;s__Novisyntrophococcus fermenticellae"	2068655	95.166	2.59e-148	283
"070fa29977f805abf99bc8e256cdfe12"	TRUE	"NR_075051.2"	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri"	324831	100	1.29e-145	278
"072a22143582e6bba86d5e9292fb1b9c"	FALSE	"NR_170509.1"	"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella freteri"	2530391	94.57	5.02e-94	185
"073ec57b3fe6956fd616d469b4efb1c0"	FALSE	"NR_156907.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas umbilicata"	1912855	96.375	5.53e-155	295
"074b568281f57c42d43262667706f6ee"	FALSE	"NR_180717.1"	"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Heminiphilus;s__Heminiphilus faecis"	2601703	95.392	3.81e-95	187
"0759f2fa05944b1f868a40e9fab56c02"	TRUE	"NR_181395.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Qiania;s__Qiania dongpingensis"	2763669	97.289	1.53e-160	305
"078f34a07d7c5fe0f9aae7a5a8df94e7"	FALSE	"NR_178255.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Fusimonas;s__Fusimonas intestini"	1408099	96.386	1.54e-155	296
"079ec0c68673c967ff520369821161c3"	FALSE	"NR_179559.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Angelakisella;s__Angelakisella massiliensis"	1871018	95.468	2e-149	285
"07c2a9b609ae4a91a55b05ba70c16348"	TRUE	"NR_026491.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium disporicum"	84024	98.944	6.14e-144	275
"07c48eb72a111d272a0d246ee513ed72"	FALSE	"NR_126249.1"	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Bombilactobacillus;s__Bombilactobacillus mellis"	1218508	99.448	3.87e-90	178
"07e3572852cdb10087ad55a54b7da2f2"	FALSE	"NR_181263.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena faecalis"	2726362	96.226	1.02e-121	235
"07eff6104f77f98c19bc76b42b955b69"	FALSE	"NR_181383.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__Luoshenia;s__Luoshenia tenuis"	2763654	91.941	5.95e-105	205
"07fd8c0c4ea60e1abe7940f65db736b4"	FALSE	"NR_144736.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Neglectibacter;s__Neglectibacter timonensis"	1776382	96.677	1.19e-156	298
"080fc8ce1b13b4cdfe102f208664c097"	TRUE	"NR_115996.1"	"k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium soli"	1368429	100	1.93e-174	330
"0832b5c5fe4ef3da4a8e3fc8c9986b5f"	FALSE	"NR_179633.1"	"k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Massilicoli;s__Massilicoli timonensis"	2015901	96.31	5.11e-125	241
"0853800deb7219feffa64c42e0067a5c"	FALSE	"NR_180563.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminiclostridium;s__Ruminiclostridium herbifermentans"	2488810	89.058	2.72e-113	220
"086e03b8b3b3aab02a74bfee48279145"	FALSE	"NR_179975.1"	"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muris"	2094150	94.864	1.21e-146	280
"08ca30b37de1140bafea5045edbcb796"	TRUE	"NR_144740.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis"	1776391	99.645	3.64e-146	279
"08d56311f194c848a28c016e5f190fd2"	FALSE	"NR_179173.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium fessum"	2126740	94.295	8.62e-128	246
"08da7189d81ea867acaab559feccab3e"	TRUE	"NR_179378.1"	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Fundicoccus;s__Fundicoccus fermenti"	2847858	98.193	1.52e-165	314
"08f685254789934d5ce3ec8d3f73ddab"	FALSE	"NR_026491.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium disporicum"	84024	98.462	1.46e-94	186
"08f71b328b50c262bfc480e2085c39bd"	FALSE	"NR_179173.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium fessum"	2126740	93.353	2.63e-138	265
"08fdfa9ac0f740650da9816b7cb65ffb"	FALSE	"NR_104907.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium coprostanoligenes"	290054	94.064	1.07e-90	179
"0906050b1f59bde0aa8973e2c64fe277"	FALSE	"NR_181387.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__Guopingia;s__Guopingia tenuis"	2763656	87.915	9.86e-108	210
"0909da94bf4f5e3169a43b267ef4bd14"	FALSE	"NR_125464.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerobacterium;s__Anaerobacterium chartisolvens"	1297424	88.788	1.27e-111	217
"0925dc4bbe2aff76a65166c608de3f50"	FALSE	"NR_075051.2"	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri"	324831	99.265	4.83e-65	133
"095bc9c12b034ab7d5290fa515592e1f"	FALSE	"NR_180431.1"	"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum gordoncarteri"	2530390	96.789	1.06e-100	197
"0979959228c6f998b43e5b46b14ec14d"	TRUE	"NR_117374.1"	"k__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Parvibacter;s__Parvibacter caecicola"	747645	98.182	2.51e-163	310
"0991e4721135f75504aa5ea7e0384662"	FALSE	"NR_180563.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminiclostridium;s__Ruminiclostridium herbifermentans"	2488810	87.538	5.93e-105	205
"09a881e8f398e7b3588f08e2633e0ea2"	TRUE	"NR_028785.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium] scindens"	29347	97.583	1.18e-161	307
"09d038299b67a9af87d51e66edab81a2"	FALSE	"NR_180563.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminiclostridium;s__Ruminiclostridium herbifermentans"	2488810	89.841	3.52e-112	218
"09e780f54ccbe1f87de871b314f07724"	TRUE	"NR_104907.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium coprostanoligenes"	290054	98.846	1.26e-130	251
"0a03fd7d467bb7c93eae3dac444d25e0"	TRUE	"NR_181198.1"	"k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter bilis"	2735723	99.559	1.08e-115	224
"0a161eb2cb86d8a78d36c3d4f4a12a53"	FALSE	"NR_147396.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridium pacaense"	1917870	94.562	5.61e-145	277
"0a4f22115529b0a42197eb6cdfa14dd0"	FALSE	"NR_179976.1"	"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum intestinale"	2094151	93.796	4.76e-115	223
"0a79446cd3f35514213ea5eedf62ca70"	FALSE	"NR_117905.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor muris"	879566	93.73	2.52e-133	256
"0a9681b93e0da50b1aa87f4f8ee5269a"	FALSE	"NR_028785.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium] scindens"	29347	96	1.09e-100	197
"0aa9a601288070397bfe2b775df09668"	FALSE	"NR_180431.1"	"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum gordoncarteri"	2530390	96.39	2.27e-128	247
"0ac82e14b0ecd6fb8ba92aade08c3474"	FALSE	"NR_026491.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium disporicum"	84024	91.124	5.77e-125	241
"0ade19c33156865113840d4962455287"	TRUE	"NR_173697.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter asaccharolyticus"	2108523	98.187	5.45e-165	313
"0b16f95d546c779fb780303bd78bb3c4"	TRUE	"NR_181198.1"	"k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter bilis"	2735723	97.947	7.73e-169	320
"0b2edecf2671429cbc143eb9c4592b19"	FALSE	"NR_026104.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminiclostridium;s__Ruminiclostridium cellobioparum"	1121303	92.195	1.93e-78	157
